class,text
d,"피고인도 이에 대항하여 피해자와 몸싸움을 하면서 뒤엉켰는데,"
i,그리고 이 사건 차량에 연소가 시작될 당시 이 사건 차량 주변에 피고인 외에 다른 사람은 없었던 것으로 보인다.
i,따라서 목을 졸린 것 외에 다른 원인으로 피해자의 경부에 좌상이 발생하였을 가능성은 상정할 수 없다.
d,검찰에서 조사받으면서 ‘순간적으로 흥분해서 죽이려는생각을 하고 그런 행위를 했을 수도 있다는 생각이 든다’는 취지로 진술하거나
c,판시 제3항 범죄사실 기재와 같이 피고인으로부터 강제추행을 당하였다는 피해자의 진술은 신빙성이 있다고 인정된다.
d,"범행 후 피고인 A에게 '입 다물고 있어라, 피해자를 죽인 일은 비밀로 해라, 내가 모두 알아서 할게.'라고 하여"
i,"달리 피고인이 그 차량에 관한 임대료 등을 받았다고 볼 만한 자료가 없는 점 등에 비추어 보면,"
d,(공판기일의 최후진술 참조).
d,(증인 G에 대한 증인신문속기록 7쪽).
e,지능지수(IQ)가 104이고 임상심리검사결과 인지기능이 다소 비효율적이나 평균수준이라는 것이다.
u,여러 가지 사정에 비추어 보면
d,"(2) 피해자는 형질변경과 설계비, 인·허가비용 명목으로 피고인에게 가계약금 4,000만 원을 교부하였으나,"
w,"피고인에게 범행 당시 살인의 고의가 있었는지 여부는 피고인이 범행에 이르게 된경위, 범행의 동기, 준비된 흉기의 유무·종류·용법, 공격의 부위와 반복성, 사망의 결과발생 가능성 정도 등"
ic,따라서 피고인의 위 주장은 이유 없다.
d,이후 수사 과정에서도 여러 차례 자신이 피해자를 살해하였다는 사실을 알고 있다는 취지로진술하였다
w,"그 인식이나 예견은확정적인 것은 물론 불확정적인 것이라도 이른바 미필적 고의로 인정되는 것인바,"
u,"위 각 증거에 의하면,"
i,"1) 피고인은 피해자가 반격의 도구로 사용하는 것을 막기 위하여 판시 손목시계 및 자동차 열쇠를 빼앗은 것일 뿐이므로,"
d,2015고합22 증거기록 제25쪽).
i,"피고인은 피해자를 혼내주려고 피해자의 다리 부분을 찔렀을 뿐,"
b,"(대법원 2001. 11. 27. 선고 20이도4392 판결, 대법원 2010. 2. 25. 선고 2009도14263 판결 등 참조)."
i,"피고인의 행위는 깨진 소주병으로 피해자를 내리치는 것에 그치지 않고 부엌칼로 피해자를 수회 찌르기까지 한 것인바,"
i,가. 피고인은 피해자에게 접을 주거나 상해를 가할 의도가 있었을 뿐
w,자기의 행위로 인하여 타인의 사망의 결과를 발생시킬 만한 가능성 또는위험이 있음을 인식하거나 예견하면 족한 것이고
c,피고인에게 판시 살인미수 범행 당시 살해의 범의가 없었다.
c,피해자가 다른 남자와 바람을 피운다는 생각이 들어 피해자를 추궁하던 중 순간적으로 너무 화가 나서 우발적으로 피해자를 찌르게 된 것이지 살인의 범의는 전혀 없었다.
w,"자기의 행위로 인하여 타인의 사망이라는 결과를 발생시킬만한 가능성 또는 위험이 있음을 인식하거나 예견하면 족한 것이며,"
d,"(증거기록 34쪽 및 각 피고인들에 대한 경찰 피의자신문조서),"
i,"피해자를 찌르기 전에 'B를 데려와라', '너는 죽이지 않겠다'고 한 사정만으로는 이와 달리 볼 수 없다."
i,"이사건 범행이 있던 날과 같은 달 초순경에는 피해자가 국가로부터 아들의 학비 지원을 받는 사실을 숨겨왔다는 사실을 알고 피해자와 심하게 다투고 난 후 피해자에 대한 감정이 크게 상해 있었던 점,"
b,(대법원2009. 2. 26. 선고 2008도9867 판결 등 참조).
d,"제84, 85쪽),"
d,범행 당일에도 미리 장갑과 갈아입을 옷을 준비해 오는 등
d,"(증거기록 68쪽, 142쪽)."
i,"피고인은 이 사건 공소사실 중 강도살인의 점과 관련하여 그러한 범행을 한 적이 전혀 없으며,"
e,조사자의 면담방법상 중요한 진술 오염의 여지는 낮은 것으로 판단된다.
b,(대법원 2006. 4. 14. 선고 2006도734 판결 등 참조).
ic,따라서 피고인 및 변호인의 위 주장은 받아들이지 아니한다.
u,"살피건대, 이 법원이 적법하게 채택하여 조사한 증거들에 의하여 인정되는 다음과 같은 사정, 즉"
u,"나. 이 사건에 대하여 보건대,"
b,"(대법원 2011. 11, 24. 선고 2011도11597 판결 등 참조)."
i,피고인의 주장과 달리 피고인이 벽돌로 피해자의 머리 부위를 여러 차례 내리친 것으로 보인다.
i,"피고인과 함께 다시 피해자의 집에 가서 피해자의 사망 사실을 확인한 후, 통장(증인 G이다)에게 이야기하여 경찰에 신고하게 되었다고 진술하였다가"
w,"이에 대항하여 가해하게 된 것이라고 봄이 상당한 경우, 그 가해행위는 방어행위인 동시에 공격행위의 성격을 가지므로"
b,( 대법원 2004. 5. 14. 선고 2004도74 판결).
d,"피고인은 이러한 피해자의 머리를 쇠파이프로 가격하였고,"
i,"피고인이 판시제3항 기재 각 일시·장소에서 판시와 같이 피해자 E을 3차례, 피해자 F를 1차례 폭행하였다는 취지로 진술하고 있고,"
i,피고인이 상당히 강한 힘으로 피해자를 공격하였음을 알 수 있다.
c,피고인에게 이 사건 범행 당시 미필적이나마 자기의 행위로 인하여 피해자에게 사망의 결과를 발생시킬 만한 가능 또는 위험이 있음을 인식하거나 예견하였다고 봄이 상당하므로
d,"나아가 피고인의 처는 집에 돌아와 보니 혈흔이 흥건하고 피고인의 상태가 이상하여 며느리를 통해 신고하게 되었다고 진술하고 있으며,"
ic,변호인의 위 주장은 받아들이지 아니한다.
d,그러나 피고인의 주거지 및 주거지 일대 시시티브이(CCTV) 영상에 의하면
i,"피고인은 침대에 누워 있던 피해자의 옆구리를 발로 두 차례 세게 걷어찬 다음 이로 말미암아 피해자가 실신한 상태에서,"
i,"더구나 피고인은 수사기관에서 '너무 흥분된 상태'였다고 진술하였는데,"
i,"판시와 같은 생선 토막용 칼을 이용하여 위와 같은 정도의 힘으로 위와 같은 부위를 찌를 경우 생명에 치명적인 위험을 발생시킬 수 있다는 것은 객관적으로 충분히 예견할 수 있고,"
i,② 피고인 역시 검찰에서 “피해자를 살해하기 위하여 면도칼로 피해자의 목을 그었는데 피해자가 다행히 손으로 막아서 죽지 않았다”고 하여 범행 자체를 자백하는 듯 한 진술을 하였던 점
ic,따라서 피고인 및 변호인의 위 주장도 받아들이지 아니한다.
i,더구나 피고인은 수사과정에서도 범행 전후 상황과 범행 과정을 비교적 소상하게 기억하여 진술하고 재연하였다.
d,"한편 피고인은 이미 G과 함께 H, [으로 하여금 2003. 5. 3. 피해자에게 상해를 가하도록 하였다는 범죄사실로 징역 4년을 선고받았으며"
i,피고인은 자신을 폭행한 피해자 F보다 피해자 E이 더 얄미운 행동을 하고 있다는 생각에 매우 화가 나있었다.
c,피고인이 이 사건 각 범행 당시 정신질환 및 술에 취해 사물을 변별하거나 의사를 결정할 능력이 미약하였다고 볼 수 없다.
d,"피해자를 죽이러 가겠다.""라고 말하였다."
u,"살피건대,"
i,"피고인과 변호인은, 이 부분 공소사실 기재와 같이 피해자가 피고인을 폭행한 후 잠을 자려고 안방 바닥에 누웠을 때 피고인이 피해자의 목 뒷부분을 칼로 찌른 것이 아니라,"
i,3 그럼에도 불구하고 피고인이 이미 과도를 빼앗긴 상태로서 피고인에 비하여 완력도 약한 피해자를 빼앗은 과도로 생명에 직접적인 영향을 줄 수 있는 목이나 가슴 등
i,피고인의 행위는 피해자의 공격에 대한 방어의사에 의한 것이 아니라 피해자를 공격하기 위한 행위로 볼 수 밖에 없다.
d,1 피고인이 피해자 C에 대한 범행에 사용한 도구는 총 길이 15cm인 가위이다
e,지각 및 사고 장애를 시사할 만한 반응은 두드러지지 않음' 또는 '현재 경험하는 정서적 불안정성으로 인해 저하되었을 가능성이 시사되어 추후 환자가 안정감을 되찾은 후 인지능력 재평가 요구됨'이라고 기재되어 있다
c,피고인이 이 사건 범행 당시 사물을 변별하거나 의사를 결정할 능력이 없었다거나 미약한 상태에 이르렀다고 보이지 아니한다.
w,사체가 부패하면서 2~3일 후에야 부양하는 점에 비추어
b,(대법원 2009. 2. 26. 선고 2008도9867 판결 참조).
c,피고인에게 피해자를 살해할 범의는 없었다.
d,5 피고 인도한 검찰에서 조사받으면서 '상대가 또 사과를 하지 않고 폭행을 한다면 칼을 휘두르면서 방어할 생각은 있었습니다'라고 하여 칼을 사용할 생각은 있었다고 진술하였다
i,"피고인은 자신이 손에 든 물건을 식칼이 아닌 다른 물건으로 알고 피해자를 치려고 하였을 뿐이므로,"
w,"한편, 형법 제10조의 심신장애의 유무는 법원이 형벌제도의 목적 등에 비추어 판단하여야 할 법률문제로서,"
d,화가 나 불경을 외우면서 마음을 다스렸으나 그 사실을 잊지 못하고 스트레스를 받던 중 2019 6. 21. 치과의사를 보니 아프고 스트레스받고 한 것이 생각나 화가 치밀었습니다
w,"(1) 형법 제21조 제1항에 규정된 정당방위로 인정되려면 그 행위가 자기 또는 타인의 법익에 대한 현재의 부당한 침해를 방어하기 위한 것이어야 하고,"
d,(수사기록 134쪽)
i,"피고인은 자신이 칼을 들기는 하였으나 찌르려고 하지 않았는데 피해자와 실랑이 하던 중 피고인이 넘어지면서 칼날이 우연히 피해자의 목 부위에 찔렸거나, 피해자가 칼을 들고 있는 피고인의 팔을 잡고 있다가 힘이 빠지거나 손이 미끄러져 칼날이 피해자의 목 부위에 찔렸을 가능성이 있다는 주장을 하나"
u,"사정이 그러하다면,"
d,"① 피고인이 이 사건 범행에 사용한 도구는 두경 약 4.5㎝, 가로 약 12.5㎝, 전장 약 40㎝의 쇠망치로서,"
d,목 부위를 손으로 잡고 있는데 뭐가 흐르더라고요.
u,"그러나 앞서 든 증거들에 의하여 인정되는 다음의 사정, 즉"
d,그 때 얼굴에서 피가 흐르는 것을 알게 되어 곧바로 피해자와 피해자의 옆에 있던 일행이 피고인의 손을 필사적으로 잡고 피고인에게 손을 놓으라고 소리를 지르고 있는 상황에서 경찰관이 출동하였다.
c,"변호인은 피고인이 이 사건 범행 당시 정신분열증으로 인하여 심신상실의 상태에 있었다는 취지의 주장을 하므로 살피건대,"
i,피고인이 피해자를 차량에 태운 상태에서 차량을 비탈길 아래로 추락시킬 때까지는 피해자가 살아있었으므로
d,"3 피고인은 피해자를 식칼로 찌르면서 피해자에게 ""이 새끼, 년 뒤져야 돼""라고 말한 점,"
d,"“처음부터 피해자를 죽일 생각은 아니었지만,"
e,"피고인의 얼룩무늬 상의(피고인이 이 사건 범행일인 2019. 12. 16. 20:51경 방문한 편의점 CCTV영상에 피고인이 입고 있는 상의와 같은 것으로 보인다. 증거기록 463쪽, 719쪽)에서 혈흔반응 양성, 피해자 및 피고인과 일치하는 DNA형이 혼합 검출되었으며"
e,"적절한 수액 및 수혈이 없었으면 피해자가 사망했을 가능성이 있다.'는 취지로 진술하였고,"
u,"이 법원이 적법하게 채택하여 조사한 증거들에 의하면,"
i,"1) 이 법원이 적법하게 채택하여 조사한 증거들에 나타나는 다음과 같은 이 사건범행의 동기 및 범행 준비과정, 범행 전에 피고인이 보인 언동에다가"
ic,이와 견해를 달리하는 피고인 및 변호인의 주장은 받아들이지 아니한다.
c,당시 술에 만취하여 사물을 변별하거나 의사를 결정할 능력이 없었거나 그 능력이 미약한 상태에 있었다는 취지로 주장한다.
d,"(증거기록 68쪽, 144쪽),"
w,"그 인식이나 예견은 확정적인것은 물론 불확정적인 것이라도 이른바 미필적 고의로 인정되는 것인바,"
d,약독물 검사에서 치료농도 범위의 고혈압약 성분 외에 특기할 약물이나 독물 성분도 검출되지 않았다.
i,피고인은 당시 손에서 칼이 빠지지 않게 고정시켜 피해자에게 치명상을 입히기 위한 의도를 가지고 위와 같은 준비를 하였던 것으로 보인다
d,"준비해 간 케이블타이의 개수가 많은 이유에 대하여 “피해자들을 묶기 위해 여러 개 준비해 갔습니다.”라고 진술한 점,"
d,6 피고인의 모와 피해자의 이야기를 들은 피고인이 119신고를 하기는 하였으나
i,피고인 B와 변호인은 피고인 B가 지적장애 2급 판정을 받은 사람으로서 일상생활 중 단순한 행동만 가능하고 초등학교 저학년 수준의 지능을 가지고 있으므로
e,"이와 관련하여 피해자의 시신을 부검한 국립과학수사연구원의 부검의 F는 이법정에서 ""피해자가 입은 손상은 긴 얇은 막대의 경우에 생길 수 있는 흔한 점형 손상이고,"
d,"피고인은 피해자들이 칼을 빼앗으려는 상황에서도 칼을 놓지 않고 손에 쥐고 있다가 피해자 E의 뒷목 부위를 칼로 찔렀는바,"
d,"가. 피고인은 수사기관에서부터 이 법정의 제1회 공판기일까지 피고인이 피해자를 살해하였다고 자백하였으나,"
d,"피고인이 이사건 범행 당시 다소 술을 마신 사실은 인정되나,"
c,"피고인이 앞서 가던 피해자의 정수리 부분을 자신이 소지하던1) 31cm 길이의 망치(나무로 된 자루에 한 쪽은 뭉뚝하여 못을 박을 데 쓰고, 한 쪽은 넓적하고 둘로 갈라져 있어 못을 빼는 데 쓰는 철제 머리 부분이 결합되어 있는 공구, 일명 장도리)의 뭉뚝한 부분으로 뒤쪽에서 자루가 부러질 정도로 강하게 내리친 사실이 넉넉히 인정된다."
d,문: '목의 앞뒤에서 다수의 표피박탈을 봄.
d,"살고 싶은 높은 출근하지 말고,"
d,"3 그 직후 피해자가 몸을 피하기 위하여 식당에서 나오자 피고인도 따라 나와 '죽인다'라며 계속 칼로 찌를 듯이 피해자에게 다가가며 위협하였고,"
e,"검시조사관은 치명상은 얼굴과 머리의 자절창으로 추정되고,"
w,"살인죄에서 살인의 고의는 반드시 살해의 목적이나 계획적 살해의 의도가 있어야만 인정되는 것은 아니고,"
i,피고인은 무게 3kg이나 되는 밥상 모서리로 머리를 수회 내리치고 목을 발로 밟아 위와 같이 골절상을 입힐 정도로 강한 외력을 가하였다.
d,나아가 피해자는 피고인의 가족만이 쓰레기를 버리기 위하여 이용하는 대나무밭에서 발견되었다.
i,"피고인이 피해자에게 제압되어 다른 수단을 강구할 수 없을 정도로 급박한 상황이었던 것으로 보이지는 않는 점,"
c,"미필적으로나마 판시 범죄사실에 대한 피고인의 범의가 있었음을 충분히 추단할 수 있으므로,"
w,"그 인식이나 예견은 확정적인 것은 물론 불확정적인 것이라고 이른바 미필적 고의로 인정되는 것인바,"
d,이에 피고인이 방바닥에 떨어져 있던 칼을 주워 피해자를 찌르게 되었음은 앞서 범죄사실에서 인정한 터이다.
c,피고인은 이 사건 범행으로 피해자의 사망이라는 결과를 발생시킬 가능성 또는 위험성이 있음을 충분히 인식하였거나 예견하고 있음에도 불구하고 그 범행을 감행함으로써 위 결과 발생 가능성을 용인하여 살인에 관하여 적어도 미필적으로나마 고의가 있었다고 판단된다.
i,이는 피해자와 싸움을 하는 과정에서 우발적으로 일어난 것이므로
d,"피고인이 이 사건 범행 직전까지 ""휴대폰이 없어졌다,"
d,양쪽 목뿔뼈 및 방패연골 주위 연조직에서 출혈을 보며 오른쪽 방패연골의 골절을 봄.
d,"피고인의 동생은 ""제 개인적인 생각으로는 피해자가 머리가 아파서 계속 누워만 있고 어머니 밥을 챙겨드려야 되는데"
u,"(2) 위 나.항 인정 사실 및 이 법원이 적법하게 채택하여 조사한 증거에 의하여 인정할 수 있는 다음과 같은 사정들 즉,"
d,"실제로 이 사건 범행 현장인 F 사무실 바닥에는 피해자의 피가 떨어져 있기도 하였던 점,"
i,너 마누라한테나 잘 해라'라고 응수하자 피고인이 행패를 부려 피해자와 피해자의 배우자 D이 피고인을 피해자의 집 밖으로 끌어냈던 것으로 보이는 점
d,왼쪽 소매 부위에서는 혈흔과 함께 피고인과 피해자의 DNA가 혼합되어 검출되었다
i,"피고인은 피해자의 사망이라는 결과를 발생시킬 가능성 또는 위험성이 있음을 충분히 인식하였거나 예견하였음에도 불구하고 이 사건 범행을 감행함으로써 위 결과 발생을 의욕하였다고 할 수 있으므로,"
d,"다시 음주운전 단속지점까지 운전하였으며,"
d,어차피 죽을 건데 소리 질러봐야 소용없다.
w,나. 고의의 일종인 미필적 고의는 범죄사실의 발생 가능성에 대한 인식이 있고
d,2 피고인이 이 사건 당일 지인과 만나 저녁 식사를 하면서 술을 마시게 된경위 및 음주량 등에 관하여
i,판시 범죄사실을 뒷받침하는 피해자의 수사기관에서의 진술은 신빙성이 있다고 할 것이다.
d,"피고인이 수사기관에서 이 사건 범행의 내용을 상당히 구체적으로 진술한 점,"
d,'상대방이 피를 흘리는 것을 보고 겁이 나서 칼을 버린 것은 기억이 난다' 등
b,(대법원 2007. 6. 14. 선고 2007도2534 판결 등 참조).
c,2. 피고인 ○○○의 변호인은 피고인이 피해자로부터 지속적인 폭행을 당해 오면서 형성된 스트레스 장애 등으로 인하여 사물을 변별할 능력이나 의사를 결정할 능력이 없거나 미약한 상태에서 이 사건 범행을 저지른 것이라는 취지로 주장한다.
d,"(증거기록 233, 239쪽)"
w,"가. 살인죄에 있어서의 범의는 반드시 살해의 목적이나 계획적인 살해의 의도가 있어야 인정되는 것은 아니고,"
w,"그 인식이나예견은 확정적인 것은 물론 불확정적인 것이라도 이른바 미필적 고의로 인정되는 것인바,"
i,"피해자들을 찌르거나 때리려는 의도는 없었고,"
w,"그 판단에 있어서는 전문감정인의 정신감정 결과가 중요한 참고자료가 되기는 하나,"
c,피고인은 살인의 실행행위에 착수하였다고 보아야 한다.
i,앞서 본 바와 같이 피해자의 상처는 좁고 깊어 칼에 의하여 의도적으로 찔린 상처라고 판단된다.
d,"피고인은 부엌칼을 든 채 피해자 뒤를 약 10~15m 가량 쫓다가 다시 차량을 운전하여 약 400~500m 가량 피해자를 추격하였고,"
d,"(6) 때마침 그때 E의 전화를 받고 찾아온 피해자가 그들이 함께 있는 것을 발견하고는 피고인에게 욕설을 하면서 달려들어 주먹으로 피고인의 얼굴을 먼저 때렸고,"
u,"위 진술 내용에 비추어 보면,"
d,"앞서 본 각 증거들에 의하여 인정되는 이 사건 범행의 경위, 수단, 범행 전후의 피고인의 행동 등 여러 가지 사정에 비추어 보면,"
e,"피고인에게 경미한 우울증 증세, 알콜의존 증세가 있는 사실은 인정되나,"
d,잠도 잘 수가 없구나.
u,2) 범행전·후 상황
i,"5 또한 앞서 본 바와 같이, 피고인은 피해자와 시비가 붙게 되자 자신의 집으로 들어가 식칼을 가지고 나오기까지 하였고,"
d,"그때 피해자가 그냥 갔으면 아무 일도 없었을 것인데,"
i,칼로 찌른 공격 부위와 피해자의 상해 정도 및 사망의 결과 발생 가능성
d,"답: 침대에서 일어나, 누워 있던 피해자의 옆구리를 발로 2회 세게 걷어차고,"
w,"이는 모든 가능한 의심을 배제할 정도에 이를 것까지 요구하는 것은 아니며,"
i,"피고인이 물 속에서 피해자의 목을 힘껏 누르고,"
d,어깨 부위 상처는 길이 및 깊이 약 5cm로 삼각근이 손상되었다.
b,(대법원 2001. 9. 28. 선고 2001도 3997 판결 등 참조).
e,"피해자의 유전자형이 더 많이 검출된 점으로 보아 칼날의 혈흔은 피해자의 유전자형으로 추정된다고 판단한 점,"
b,(대법원 1986. 2. 25. 선고 85도2773 판결 참조).
u,"이 사건 범행이 일어난 경위, 범행의 동기, 흉기의 종류 및 공격 형태, 공격부위, 이후의 경과 등을 종합하여 보면,"
w,"살인죄에서 살인의 범의는 반드시 살해의 목적이나 계획적인 살해의 의도가 있어야 인정되는 것은 아니고,"
b,(대법원2006. 4. 14. 선고 2006도734 판결 등 참조).
w,1) 살인죄에 있어서의 범의는 반드시 살해의 목적이나 계획적인 살해의 의도가 있어야만 인정되는 것은 아니고
d,"그러나 조△△은 이 법정에서, ‘피고인과 피해자는 일어서서 싸웠으며,"
d,"라) 피해자는 수사기관 및 법정에서 일관되게 ""피고인이 자신을 부엌칼로 찌르기 직전에 자신에게 '너 죽여 버린다."
u,"살피건대, 판시 각 증거들에 의하여 인정되는 다음과 같은 사정들을 종합하면,"
c,위 범죄사실 기재와 같이 피해자를 강제로 추행한 사실은 없다.
ic,따라서 피고인과 변호인의 이 부분 주장도 받아들이지 않는다.
d,"2 피고인은 또한 경찰에서 '2020. 3. 19.13:47경부터 피해자를 때렸고,"
i,"피고인은 단순한 미용가위 정도라고 주장하고 있으나,"
d,"실제로 피고인이 먼저 피해자의 뺨을 때리기도 하였던 점,"
u,그리고 앞서 든 증거들에 의하면
d,"당시 피해자의 의식이 없어 피해자를 들어서 차량 조수석 쪽 앞좌석에 태웠는데,"
w,"단지 상해 또는 폭행의 범의만 있었을 뿐이라고 다투는 경우에 피고인에게 범행 당시 살인의 범의가 있었는지 여부는 피고인이 범행에 이르게 된 경위, 범행의 동기, 준비된 흉기의 유무.종류.용법, 공격의 부위와 반복성, 사망의 결과발생가능성 정도 등 범행 전후의 객관적인 사정을 종합하여 판단할 수밖에 없고"
d,"피고인이 처음부터제배 쪽을 수차례 찌르려고 했는데 제가 팔을 뻗어서 막고 몸은 뒤로 빼고 있는 상황이었습니다 ""(증거기록 124, 125면)라고 진술하였고,"
d,"위 승용차를 추월한 다음 위 승용차 앞으로 차로를 다시 변경하는 과정에서 중앙분리대를 충격한 사실,"
u,나. 앞의 '증거의 요지'에서 거시한 증거들에 의하여 알 수 있는 다음과 같은 사정들 즉
w,"가. 살인죄에서 살인의 고의는 반드시 살해의 목적이나 계획적 살해의 의도가 있어야만 인정되는 것은 아니고,"
i,피고인이 2010. 9. 24. 자신의 이삿짐을 빼내면서 부엌 밖으로 빼낸 것으로 보이므로
e,"그중 국립과학수사연구원에서 직접적 사망 원인으로 판단한 가슴 오른쪽 부위 상처는 길이 3 추정 깊이 12cm로서 심장과 허파에 손상을 입힐 정도이고,"
i,피고인의 행위로 인하여 피해자는 상당한 양의 피를 쏟기도 하였다.
i,"범행 당시의 객관적 정황과도 일치하며,"
d,"(수사기록109쪽),"
d,"피고인은 그 상황을 모면하기 위해 피해자들에게 식당에 가서 술이나 한잔하자고 하여 식당으로 이동하게 되었는데,"
d,"나도 죽는다”라고 말하였던 점,"
i,"피해자는 이 사건이 발생하기 전 피고인과의 전화통화 중에는 피고인이 술에 취하였다는 느낌을 받지 못하였던 점,"
d,두 연놈 죽이러 간다.
i,피고인은 강한 충격을 받는 경우 치명적인 상해를 입을 수 있는 피해자의 머리 부위를 집중적으로 가격한 것으로 보인다.
u,"이 법원이 적법하게 채택하여 조사한 증거들에 의하여 인정되는 다음과 같은 사정들, 즉"
d,그러나 피해자의 머리 쪽에 서서 허리를 굽힌 상태로 오른손에 칼을 들고 피해자의 머리와 얼굴부위를 집중적으로 찔렀다.
c,2)양형기준상 미필적 살인의 고의로 인한 감경요소도 적용하지 아니한다.
d,"같은 달 6. 경찰에서 조사를 받기도 하였는데,"
i,비록 발사한 총알 중 5발이 빗나가고
u,"그러나 이 사건 기록과 변론에 나타난 여러 사정, 즉"
d,피고인의 무릎 높이 정도로 뛰어 올라 체중을 실어 한 발 또는 두발로 피해자의 머리를 수회 밟았다.
d,"① 피고인은 범행 당일 체포된 후 경찰에서, '피해자와 택시비 문제로 시비하던 중 피해자가 먼저 욕설을 하여 상당히 기분이 나빴고,"
d,"당시 피고인 A은 멀쩡한 반면 피해자는 술에 취해 비틀거리면서 걸어가게 되어 피고인 A이 피해자를 부축하기도 하였으며,"
e,이 사건 차량의 경우 내부에서 그러한 원인은 찾지 못하였다.
c,피해자를 살해한 사실은 없다.
e,"마. 법의학과 교수 T의 감정결과 및 T의 진술에 의하더라도,"
i,"그 자체만으로는 위 범행을 인정하기에 부족하므로,"
d,(수사기록 307~310쪽).
i,만일 피고인의 공격이 빗나가지 않았더라면 피해자 E은 복부 부위에 치명상을 입었을 것으로 보인다.
c,피고인은 이 사건 범행 당시 우울증 등으로 인해 사물을 변별하거나 의사를 결정할능력이 미약한 상태에 있었다.
w,자기의 행위로 인하여 타인에게 사망의 결과를 발생시킬 만한 가능성 또는 위험이 있음을 인식하거나 예견하였다면 고의가 있다고 할 수 있다.
i,"이에 의하면 피고인 B가 실수로 넘어지면서 입은 상처라기보다는 피고인 A가 칼로 상당한 힘을 가하여 입힌 상처로 보이는 점,"
e,"사물변별능력과 의사결정능력에 장애를 일으킬 만한 상태는 아니었던 것으로 추정되는 점,"
u,"위 인정사실을 고려할 때,"
d,"피고인이 창문을 닫지 못하게 계속 창문 버튼을 누르고 있었으며,"
d,아. 당시 피고인만이 유일하게 생계유지 활동을 하면서 피해자와 자녀들을 부양하고 있었는데
i,"피고인들의 행위는 부당한 공격을 방어하기 위한 것이라기보다 서로 다투다가 공격을 받고 이에 대항하여 가해하게 된 것이라고 봄이 상당하고,"
i,피고인은 놀라서 옹벽 아래로 내려가 피해자에게 의식이 없음을 알고 피해자의 의식을 되찾게 하려 하였으나
c,피고인은 위 범죄사실 2항 기재의 살인 및 감금의 고의가 없다고 주장한다.
i,"피고인의 평소 주량, 범행의 경위와 과정, 수단과 방법, 범행 전후의 피고인의 행동, 수사기관에서 진술 내용 등에 비추어 볼 때,"
d,"피고인이 또 찌르려고 해서 피해자가 칼을 잡아 뺏었고,"
w,"피고인이 범행 당시 살인의 범의는 없었고 단지 상해 또는 폭행의 범의만 있었을 뿐이라고 다투는경우에 피고인에게 범행 당시 살인의 범의가 있었는지 여부는 피고인이 범행에 이르게된 경위, 범행의 동기, 준비된 흉기의 유무·종류·용법, 공격의 부위와 반복성, 사망의결과발생 가능성 정도 등 범행 전후의 객관적인 사정을 종합하여 판단할 수밖에 없는것이다"
d,"피해자는 그 자리에서 의식을 잃고 피를 흘리면서 쓰러졌는데,"
i,피고인 C가 파악한 J에 대한 모든 정보가 정확했기 때문에
d,"피고인 A는 이에 대하여""그래도 상관없어."
i,"단순히 피해자를 겁박하기 위한 것이라고 보기에는 피고인이 소지한 번개탄의 수량이 너무 많은 점,"
u,"이 법원이 채택하여 조사한 증거들에 의하여 인정되는 다음과 같은 사정들, 즉"
i,"① 피고인은 피해자와 헤어진다는 생각에 피고인의 집에서 피해자를 살해할 마음을 먹고 그 곳에 있던 면도칼 4개를 소지하여 피해자의 집에 찾아갔던 점,"
w,다만 그와 같은 심증이 반드시 직접증거에 의하여 형성되어야만 하는 것은 아니고
d,"6 피고인이 피해자를 찌르기 시작한 시간(12:01경)부터 구급대원이 현장에 도착한 시간 10분도 걸리지 않았고,"
d,"저를 아프게 하고 피해를 받고 고통받은 것이 억울해 미워하는 감정이 있었습니다(증거기록 제98쪽).""라고진술하여,"
u,1) 관련 법리
d,"피해자는 범행 후 약 2시간이 지난 뒤 두부 손상으로 사망한 사실을 인정할 있는바,"
i,"치명상에 이를 수 있는 신체부위를 공격한 점,"
d,라) 경찰들이 같은 날 20:09경 피고인의 신고로 위 식당에 출동하여 간이 천막에 있는 피고인에게 신고 여부를 물었으나
w,"나. 형법 제10조에 규정된 심신장애의 유무 및 정도를 판단함에 있어서 반드시 전문가의 감정에 의존하여야 하는 것이 아니고,"
i,피해자에 대한 살인의 고의를 인정하는 데 방해가 되지 않는다.
d,"(다만 피고인의 구체적인 실행행위와 관련하여,"
i,"피고인이 피해자들이 있는 자리에서 피해자 최○○과의 내연관계에 관한 모든 책임이 자신에게 있지 않다는 점을 밝히고자 피해자들의 집에 찾아간 것으로 처음부터 피해자들을 살해하려는 의도를 가지고 있지 아니하였고,"
i,"이 사건의 범행대상에는 피해자 신○○뿐만 아니라 피해자 최○○, 정○○도 포함되는 점,"
i,범행 후에는 피고인의 딸에게 신고를 부탁하는 등 자신의 행위를 인식하고 이에 대한 죄책을 감수하겠다는 태도를 취하고 있다.
d,"③ 이 사건 범행으로 인하여 피해자 C가 입은 상처는 횡격막을 관통하는 3cm 길이의 자상으로서,"
w,"살인죄의 고의는 반드시 살해의 목적이나 계획적인 살해의 의도가 있어야 하는 것은 아니고,"
d,"(증거기록 16쪽),"
w,"자기의 행위로 말미암아 타인의 사망이라는 결과가 발생할 가능성 또는 위험을 인식하고서도 이를 용인한 채 그와 같은 행위로 나아간 것이라는 이른바 '미필적 고의'가 인정됨으로써 족한 것인바,"
